sphere_type,j,x,y,z,size
current,18,-0.964613,1.401288,1.600930,0.100000
current,19,1.477062,-1.496452,1.170595,0.100000
current,0,-0.288297,-0.326914,1.943636,0.100000
current,1,0.782381,-0.255950,2.284150,0.100000
current,2,-0.698549,-0.178594,1.035171,0.100000
current,3,0.254171,1.390377,1.410398,0.100000
current,4,-0.776664,-1.018335,1.409932,0.100000
current,5,0.238390,-1.262285,0.951198,0.100000
current,6,-2.078563,-1.295716,1.383391,0.100000
current,7,-0.514757,0.309435,2.032734,0.100000
current,8,1.314900,1.412765,3.018424,0.100000
current,9,0.129724,-0.268872,2.866141,0.100000
current,10,-1.724504,-1.422913,2.464755,0.100000
current,11,-1.468606,-0.989052,1.231606,0.100000
current,12,1.621692,1.762534,1.657246,0.100000
current,13,0.986392,0.487285,1.240617,0.100000
current,14,1.512199,0.050769,0.934236,0.100000
current,15,1.596166,0.141732,1.858128,0.100000
current,16,0.944208,1.233589,2.431225,0.100000
current,17,-1.119270,-0.798747,2.384583,0.100000
current,18,-0.965443,1.390810,1.622925,0.100000
current,19,1.465027,-1.477731,1.173655,0.100000
current,0,-0.268417,-0.325012,1.928596,0.100000
current,1,0.782304,-0.237372,2.278991,0.100000
current,2,-0.676188,-0.170008,1.028014,0.100000
current,3,0.240303,1.372311,1.402676,0.100000
current,4,-0.779515,-1.020735,1.417338,0.100000
current,5,0.218459,-1.275129,0.943273,0.100000
current,6,-2.075857,-1.305595,1.379882,0.100000
current,7,-0.498177,0.320373,2.037785,0.100000
current,8,1.296267,1.424779,3.029978,0.100000
current,9,0.126965,-0.293630,2.868255,0.100000
current,10,-1.724628,-1.436050,2.464392,0.100000
current,11,-1.463854,-0.980064,1.222574,0.100000
current,12,1.628158,1.756317,1.635654,0.100000
current,13,0.974487,0.475300,1.231795,0.100000
current,14,1.504624,0.043130,0.924839,0.100000
current,15,1.605283,0.129948,1.878203,0.100000
current,16,0.936797,1.234257,2.427257,0.100000
current,17,-1.138682,-0.784262,2.378392,0.100000
current,18,-0.966704,1.380570,1.644667,0.100000
current,19,1.452636,-1.459181,1.176933,0.100000
current,0,-0.248624,-0.323166,1.913437,0.100000
current,1,0.781912,-0.218663,2.274698,0.100000
current,2,-0.653799,-0.161656,1.020665,0.100000
current,3,0.227077,1.355423,1.394861,0.100000
current,4,-0.782538,-1.022468,1.425124,0.100000
current,5,0.198640,-1.288059,0.935209,0.100000
current,6,-2.072286,-1.315656,1.376338,0.100000
current,7,-0.482045,0.330509,2.043609,0.100000
current,8,1.277149,1.436870,3.040622,0.100000
current,9,0.124521,-0.318487,2.869329,0.100000
current,10,-1.724424,-1.448760,2.463895,0.100000
current,11,-1.459026,-0.970124,1.212788,0.100000
current,12,1.634079,1.750046,1.614791,0.100000
current,13,0.963383,0.463222,1.223355,0.100000
current,14,1.497743,0.036178,0.916013,0.100000
current,15,1.614194,0.118008,1.898278,0.100000
current,16,0.930354,1.235089,2.423172,0.100000
current,17,-1.158223,-0.770058,2.371958,0.100000
current,18,-0.968204,1.370687,1.666642,0.100000
current,19,1.439653,-1.440926,1.180234,0.100000
current,0,-0.228846,-0.321603,1.898225,0.100000
current,1,0.781309,-0.199933,2.271129,0.100000
current,2,-0.631938,-0.153935,1.013461,0.100000
current,3,0.214272,1.339199,1.386956,0.100000
current,4,-0.785877,-1.023457,1.433491,0.100000
current,5,0.178763,-1.301038,0.927372,0.100000
current,6,-2.067749,-1.325995,1.372885,0.100000
current,7,-0.466828,0.339643,2.050418,0.100000
current,8,1.257603,1.448852,3.050592,0.100000
current,9,0.122236,-0.343382,2.869475,0.100000
current,10,-1.723900,-1.461140,2.463399,0.100000
current,11,-1.454299,-0.959207,1.202423,0.100000
current,12,1.639464,1.743752,1.594925,0.100000
current,13,0.953312,0.451263,1.215494,0.100000
current,14,1.490867,0.029409,0.907707,0.100000
current,15,1.622715,0.105874,1.918407,0.100000
current,16,0.924811,1.236065,2.418907,0.100000
current,17,-1.177921,-0.756236,2.365180,0.100000
current,18,-0.969681,1.361025,1.688749,0.100000
current,19,1.426217,-1.423113,1.183466,0.100000
current,0,-0.209036,-0.320266,1.883033,0.100000
current,1,0.780430,-0.181034,2.268229,0.100000
current,2,-0.610893,-0.146733,1.006325,0.100000
current,3,0.201920,1.323846,1.378953,0.100000
current,4,-0.789328,-1.023855,1.442281,0.100000
current,5,0.158807,-1.313856,0.919467,0.100000
current,6,-2.062399,-1.336542,1.369333,0.100000
current,7,-0.452152,0.347920,2.058079,0.100000
current,8,1.237549,1.460760,3.059594,0.100000
current,9,0.120242,-0.368288,2.868634,0.100000
current,10,-1.723006,-1.473097,2.462989,0.100000
current,11,-1.449442,-0.947390,1.191460,0.100000
current,12,1.644433,1.737453,1.575863,0.100000
current,13,0.944192,0.439354,1.208192,0.100000
current,14,1.484623,0.023326,0.899868,0.100000
current,15,1.630913,0.093505,1.938527,0.100000
current,16,0.920252,1.237117,2.414447,0.100000
current,17,-1.197725,-0.742685,2.358168,0.100000
current,18,-0.971464,1.351369,1.710711,0.100000
current,19,1.412231,-1.405604,1.186954,0.100000
current,0,-0.189242,-0.319060,1.867811,0.100000
current,1,0.779384,-0.162136,2.266155,0.100000
current,2,-0.590751,-0.140028,0.999392,0.100000
current,3,0.189948,1.309124,1.371069,0.100000
current,4,-0.792957,-1.023272,1.451520,0.100000
current,5,0.138750,-1.326577,0.911665,0.100000
current,6,-2.055687,-1.347524,1.365916,0.100000
current,7,-0.437999,0.355338,2.066171,0.100000
current,8,1.217132,1.472558,3.067898,0.100000
current,9,0.118524,-0.393155,2.866719,0.100000
current,10,-1.721859,-1.484536,2.462635,0.100000
current,11,-1.444300,-0.935119,1.179834,0.100000
current,12,1.649014,1.731077,1.557597,0.100000
current,13,0.935937,0.427557,1.201218,0.100000
current,14,1.479051,0.017903,0.892496,0.100000
current,15,1.638653,0.080926,1.958698,0.100000
current,16,0.916526,1.238358,2.409821,0.100000
current,17,-1.217630,-0.729389,2.350956,0.100000
current,18,-0.973275,1.341813,1.732579,0.100000
current,19,1.397697,-1.388310,1.190450,0.100000
current,0,-0.169425,-0.317940,1.852611,0.100000
current,1,0.778126,-0.142933,2.264621,0.100000
current,2,-0.571327,-0.133802,0.992527,0.100000
current,3,0.178475,1.295137,1.363313,0.100000
current,4,-0.796899,-1.021991,1.461321,0.100000
current,5,0.118543,-1.339157,0.904020,0.100000
current,6,-2.047896,-1.358801,1.362362,0.100000
current,7,-0.424435,0.361959,2.074784,0.100000
current,8,1.196332,1.484050,3.075662,0.100000
current,9,0.116887,-0.417951,2.863983,0.100000
current,10,-1.720350,-1.495686,2.462363,0.100000
current,11,-1.438878,-0.922504,1.167599,0.100000
current,12,1.653211,1.724712,1.540147,0.100000
current,13,0.928522,0.415699,1.194818,0.100000
current,14,1.473904,0.012983,0.885405,0.100000
current,15,1.645965,0.068082,1.978861,0.100000
current,16,0.913634,1.239814,2.405071,0.100000
current,17,-1.237674,-0.716409,2.343554,0.100000
current,18,-0.975240,1.332315,1.754413,0.100000
current,19,1.382559,-1.371058,1.193966,0.100000
current,0,-0.149612,-0.317054,1.837390,0.100000
current,1,0.776704,-0.123484,2.263727,0.100000
current,2,-0.552591,-0.128046,0.985860,0.100000
current,3,0.167264,1.281675,1.355626,0.100000
current,4,-0.800890,-1.020310,1.471479,0.100000
current,5,0.098254,-1.351645,0.896443,0.100000
current,6,-2.039224,-1.370263,1.358704,0.100000
current,7,-0.411372,0.367728,2.083800,0.100000
current,8,1.175156,1.495391,3.082589,0.100000
current,9,0.115371,-0.442657,2.860471,0.100000
current,10,-1.718667,-1.506377,2.462317,0.100000
current,11,-1.433084,-0.909732,1.154907,0.100000
current,12,1.657038,1.718519,1.523328,0.100000
current,13,0.921909,0.404016,1.188902,0.100000
current,14,1.469508,0.008864,0.878625,0.100000
current,15,1.652651,0.054902,1.999025,0.100000
